Feature_ID,VIP,Group_Contribution,mz,RT,Correlation_ID,Spectrum_ID,Compound_Name,Adduct,Putative_BA
24670,1.659,High Fat Diet,508.3658,4.003,NA,CCMSLIB00010223739,"""Candidate Trihydroxylated bile acid (delta mass 99.0663; sirius atomic difference: 5C, 9H, 1N, 1O; buddy atomic difference: 5C, 9H, 1N, 1O; spectral library match to CCMSLIB00006582294, Val-CA; putative explanation: valine)""",M+H,Trihydroxylated bile acid_4-(2-oxopyrrolidin-1-yl)butanoic acid [M-3H2O+H]+
31093,1.659,High Fat Diet,396.2203,5.394,0,NA,NA,NA,NA
28696,1.659,High Fat Diet,339.2688,4.922,1,CCMSLIB00010254678,"""Candidate Dihydroxylated bile acid (delta mass -54.0322; sirius atomic difference: -6H, -3O; buddy atomic difference: -6H, -3O)""",M+H,NA
782,1.659,High Fat Diet,99.5313,0.298,446,NA,NA,NA,NA
21996,1.658,High Fat Diet,403.2235,3.401,NA,NA,NA,NA,NA
32590,1.658,High Fat Diet,732.5542,5.613,131,CCMSLIB00003136587,Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14,M+H,NA
24657,1.658,High Fat Diet,337.2535,3.830,224,CCMSLIB00010256144,"""Candidate Trihydroxylated bile acid (delta mass -72.0424; sirius atomic difference: -8H, -4O; buddy atomic difference: -8H, -4O)""",M+H,NA
25286,1.658,High Fat Diet,303.1708,4.085,91,NA,NA,NA,NA
23247,1.657,High Fat Diet,317.1501,3.545,170,NA,NA,NA,NA
28680,1.657,High Fat Diet,398.3058,4.921,1,CCMSLIB00010238816,"""Candidate Dihydroxylated bile acid (delta mass 5.0052; sirius atomic difference: 2C, -1H, 1N, -2O; buddy atomic difference: 2C, -1H, 1N, -2O)""",M+H,NA
4352,1.657,Regular chow,226.1074,0.665,NA,NA,NA,NA,NA
20103,1.656,High Fat Diet,596.2564,3.032,335,CCMSLIB00010221334,"""Candidate Trihydroxylated bile acid (delta mass 186.9651; buddy atomic difference: 6C, -3H, 5N, 1O, 1S; spectral library match to CCMSLIB00004679229, Taurocholic Acid Sulfate)""",M+H,NA
27003,1.656,Regular chow,293.2114,4.514,NA,CCMSLIB00003136149,Spectral Match to 9(S)-HpOTrE from NIST14,M+H-H2O,NA
26971,1.656,Regular chow,351.2154,4.513,NA,NA,NA,NA,NA
24169,1.655,High Fat Diet,464.2827,3.864,NA,CCMSLIB00010228764,"""Candidate Dihydroxylated bile acid (delta mass 70.9801; buddy atomic difference: 5C, -3H, 1N; spectral library match to CCMSLIB00005435583, taurohyodeoxycholic acid)""",M+H,Dihydroxylated bile acid_taurine [M-2H2O+H]+
23814,1.655,High Fat Diet,373.2741,3.829,224,CCMSLIB00010245272,"""Candidate Trihydroxylated bile acid (delta mass -36.0213; sirius atomic difference: -4H, -2O; buddy atomic difference: -4H, -2O; spectral library match to CCMSLIB00005435542, hyocholic acid)""",M+H,NA
25522,1.655,Regular chow,353.2303,4.162,NA,NA,NA,NA,NA
23438,1.654,High Fat Diet,360.2208,3.671,NA,CCMSLIB00010248108,"""Candidate Monohydroxylated bile acid (delta mass -17.0842; sirius atomic difference: -6C, -7H, 1N, 1O, 1S; buddy atomic difference: -6C, -7H, 1N, 1O, 1S)""",M+H,NA
30968,1.654,Regular chow,467.3133,5.371,148,NA,NA,NA,NA
1224,1.654,Regular chow,152.0225,0.257,694,NA,NA,NA,NA
21948,1.653,Regular chow,395.2416,3.472,NA,NA,NA,NA,NA
31204,1.653,Regular chow,450.3799,5.420,40,NA,NA,NA,NA
29558,1.653,High Fat Diet,296.1470,5.107,127,NA,NA,NA,NA
24073,1.653,High Fat Diet,449.3271,3.863,NA,NA,NA,NA,NA
14768,1.652,Regular chow,192.0663,2.086,NA,NA,NA,NA,NA
33057,1.652,High Fat Diet,563.2656,5.698,NA,NA,NA,NA,NA
23196,1.652,Regular chow,364.2698,3.624,364,NA,NA,NA,NA
24701,1.652,High Fat Diet,836.5561,3.926,224,CCMSLIB00010218129,"""Candidate Trihydroxylated bile acid (delta mass 427.2599; sirius atomic difference: 22C, 37H, 1N, 7O; buddy atomic difference: 28C, 33H, 3N, 1O)""",M+H,NA
19293,1.652,Regular chow,489.3098,2.923,NA,NA,NA,NA,NA
22176,1.652,High Fat Diet,480.2775,3.345,NA,CCMSLIB00010225911,"""Candidate Trihydroxylated bile acid (delta mass 70.9833; buddy atomic difference: 2C, 1H, 1N, 1S; spectral library match to CCMSLIB00005465497, """"2-((4R)-4-((3R,5R,6S,7S,9S,10R,13R,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"""")""",M+H,Trihydroxylated bile acid_taurine [M-2H2O+H]+
18173,1.651,High Fat Diet,313.1801,2.734,47,NA,NA,NA,NA
22044,1.651,Regular chow,393.2271,3.404,NA,NA,NA,NA,NA
7007,1.650,Regular chow,204.0662,1.189,NA,NA,NA,NA,NA
14021,1.650,Regular chow,354.1473,2.166,670,NA,NA,NA,NA
29310,1.650,Regular chow,331.2847,5.058,159,NA,NA,NA,NA
29366,1.650,Regular chow,457.3321,5.145,NA,NA,NA,NA,NA
29221,1.649,Regular chow,473.3259,4.943,692,NA,NA,NA,NA
26136,1.649,High Fat Diet,470.3844,4.312,NA,NA,NA,NA,NA
2652,1.647,Regular chow,258.1691,0.446,NA,NA,NA,NA,NA
24943,1.647,Regular chow,329.2324,4.045,NA,NA,NA,NA,NA
3174,1.647,Regular chow,210.1131,0.522,NA,NA,NA,NA,NA
17293,1.647,Regular chow,241.1438,2.548,565,NA,NA,NA,NA
27234,1.647,Regular chow,230.0637,4.572,367,NA,NA,NA,NA
28276,1.647,Regular chow,615.3647,4.825,NA,NA,NA,NA,NA
14479,1.647,Regular chow,481.2636,2.170,696,NA,NA,NA,NA
32600,1.646,High Fat Diet,756.5529,5.611,529,CCMSLIB00010084384,PC(16:1/18:2); [M+H]+ C42H79N1O8P1,M+H,NA
12741,1.646,Regular chow,365.2296,2.006,NA,NA,NA,NA,NA
27614,1.646,High Fat Diet,319.2272,4.687,NA,NA,NA,NA,NA
23044,1.645,High Fat Diet,595.2731,3.501,NA,CCMSLIB00010221431,"""Candidate Trihydroxylated bile acid (delta mass 185.9787; sirius atomic difference: 5C, 2H, 2N, 4O, 1S; buddy atomic difference: 2C, -2H, 6N, 5O)""",M+H,NA
18880,1.645,Regular chow,297.1689,2.829,NA,NA,NA,NA,NA
31104,1.645,Regular chow,324.2900,5.397,415,NA,NA,NA,NA
3275,1.644,Regular chow,242.1137,0.504,NA,NA,NA,NA,NA
20450,1.644,High Fat Diet,520.2719,3.103,NA,CCMSLIB00005788125,Taurocholenic acid putative,M+Na,NA
30494,1.644,High Fat Diet,444.3688,5.303,NA,NA,NA,NA,NA
31981,1.644,Regular chow,442.3076,5.551,113,NA,NA,NA,NA
32813,1.644,High Fat Diet,484.3520,5.648,67,NA,NA,NA,NA
6591,1.644,High Fat Diet,175.1268,1.109,NA,NA,NA,NA,NA
32148,1.644,Regular chow,443.3123,5.562,NA,NA,NA,NA,NA
26092,1.644,High Fat Diet,484.3639,4.298,NA,CCMSLIB00010225021,"""Candidate Dihydroxylated bile acid (delta mass 91.0624; sirius atomic difference: 3C, 9H, 1N, 2O; buddy atomic difference: 3C, 9H, 1N, 2O)""",M+H,NA
25965,1.643,High Fat Diet,466.3528,4.263,NA,NA,NA,NA,NA
20341,1.643,High Fat Diet,380.2074,3.096,NA,NA,NA,NA,NA
26381,1.643,Regular chow,311.2220,4.358,509,NA,NA,NA,NA
3721,1.643,Regular chow,170.0815,0.562,NA,NA,NA,NA,NA
666,1.643,High Fat Diet,102.0341,0.283,216,NA,NA,NA,NA
25078,1.643,Regular chow,487.3054,4.077,NA,NA,NA,NA,NA
10425,1.643,High Fat Diet,319.1292,1.615,NA,NA,NA,NA,NA
24658,1.643,High Fat Diet,472.3045,3.964,224,NA,NA,NA,NA
23126,1.643,High Fat Diet,403.2491,3.621,NA,NA,NA,NA,NA
24111,1.642,High Fat Diet,482.3293,3.963,NA,CCMSLIB00010225137,"""Candidate Dihydroxylated bile acid (delta mass 89.0305; sirius atomic difference: 3C, 7H, 1N, 1S; buddy atomic difference: 3C, 7H, 1N, 1S)""",M+H,Dihydroxylated bile acid_tryptophol [M-3H2O+H]+
6226,1.642,Regular chow,237.1243,1.041,382,CCMSLIB00005738093,Massbank:RP016502 Ala-Phe|(2S)-2-[[(2S)-2-azaniumylpropanoyl]amino]-3-phenylpropanoate,M+H,NA
17632,1.642,High Fat Diet,312.1445,2.637,NA,NA,NA,NA,NA
25886,1.642,Regular chow,378.2854,4.248,101,NA,NA,NA,NA
28971,1.642,High Fat Diet,692.5833,4.977,344,NA,NA,NA,NA
33819,1.642,High Fat Diet,366.3008,5.831,273,NA,NA,NA,NA
8036,1.641,Regular chow,362.7218,1.381,NA,NA,NA,NA,NA
20910,1.641,Regular chow,412.2375,3.190,NA,NA,NA,NA,NA
15057,1.641,Regular chow,313.1189,2.252,670,NA,NA,NA,NA
18208,1.641,High Fat Diet,180.1024,2.729,265,NA,NA,NA,NA
27938,1.641,Regular chow,365.2313,4.770,610,NA,NA,NA,NA
9487,1.641,Regular chow,348.6876,1.556,229,NA,NA,NA,NA
30197,1.640,Regular chow,263.2373,5.245,26,CCMSLIB00003136115,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",M+H-H2O,NA
19663,1.640,Regular chow,341.2690,2.983,NA,NA,NA,NA,NA
19187,1.640,High Fat Diet,607.3135,2.973,NA,NA,NA,NA,NA
27584,1.639,High Fat Diet,386.2907,4.646,584,NA,NA,NA,NA
5708,1.639,Regular chow,350.1728,0.917,NA,NA,NA,NA,NA
31497,1.639,High Fat Diet,538.3889,5.489,NA,CCMSLIB00010056995,PC(19:0/0:0); [M+H]+ C27H57N1O7P1,M+H,NA
3969,1.639,Regular chow,223.1082,0.638,487,NA,NA,NA,NA
20009,1.638,Regular chow,371.2419,2.973,NA,NA,NA,NA,NA
24851,1.638,High Fat Diet,432.2809,4.000,224,NA,NA,NA,NA
28067,1.638,High Fat Diet,298.2743,4.789,NA,NA,NA,NA,NA
15746,1.637,High Fat Diet,347.1600,2.322,NA,NA,NA,NA,NA
28079,1.637,Regular chow,457.3684,4.773,217,NA,NA,NA,NA
33179,1.637,High Fat Diet,371.3351,5.712,414,NA,NA,NA,NA
17349,1.637,High Fat Diet,305.1509,2.601,251,NA,NA,NA,NA
27877,1.636,Regular chow,328.2486,4.708,NA,NA,NA,NA,NA
27749,1.636,Regular chow,457.3321,4.727,NA,NA,NA,NA,NA
31842,1.636,Regular chow,633.4716,5.532,33,NA,NA,NA,NA
25631,1.636,High Fat Diet,413.3055,4.204,NA,NA,NA,NA,NA
31003,1.636,Regular chow,383.3319,5.395,137,NA,NA,NA,NA
25089,1.635,Regular chow,275.2009,4.073,NA,CCMSLIB00003135863,Spectral Match to 9-OxoOTrE from NIST14,M+H-H2O,NA
13468,1.635,Regular chow,315.1668,1.990,566,NA,NA,NA,NA
731,1.635,High Fat Diet,90.5260,0.290,216,NA,NA,NA,NA
18400,1.635,High Fat Diet,502.2849,2.717,284,NA,NA,NA,NA
6554,1.635,Regular chow,148.0977,1.075,NA,NA,NA,NA,NA
26968,1.635,High Fat Diet,402.2313,4.513,598,CCMSLIB00010238721,Candidate Tetrahydroxylated bile acid (delta mass -23.0597),M+H,NA
3635,1.634,Regular chow,314.1830,0.570,573,NA,NA,NA,NA
33306,1.634,Regular chow,365.2687,5.627,32,NA,NA,NA,NA
4584,1.633,High Fat Diet,138.0556,0.732,NA,NA,NA,NA,NA
23926,1.633,High Fat Diet,632.4131,3.913,224,CCMSLIB00010220332,"""Candidate Trihydroxylated bile acid (delta mass 223.1161; sirius atomic difference: 12C, 17H, 1N, 3O; buddy atomic difference: 7C, 17H, 3N, 5O)""",M+H,Trihydroxylated bile acid_81346-71-6 [M+NH4]+
18054,1.633,High Fat Diet,389.1942,2.750,NA,NA,NA,NA,NA
23768,1.633,High Fat Diet,426.3220,3.827,224,CCMSLIB00010233729,"""Candidate Trihydroxylated bile acid (delta mass 17.0259; buddy atomic difference: 3H, 1N; spectral library match to CCMSLIB00003137151, Spectral Match to Cholic acid from NIST14)""",M+H,NA
24261,1.633,Regular chow,333.2638,3.902,176,CCMSLIB00010260923,"""Candidate Pentahydroxylated bile acid (delta mass -108.0217; sirius atomic difference: -6C, -4H, -2O; buddy atomic difference: -6C, -4H, -2O)""",M+H,NA
22402,1.632,High Fat Diet,447.3114,3.504,NA,NA,NA,NA,NA
33978,1.632,High Fat Diet,732.5556,5.812,458,CCMSLIB00003136587,Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14,M+H,NA
8446,1.632,Regular chow,265.1043,1.429,448,NA,NA,NA,NA
23363,1.632,High Fat Diet,537.3226,3.658,631,NA,NA,NA,NA
27404,1.632,Regular chow,173.1177,4.612,59,NA,NA,NA,NA
27897,1.632,Regular chow,323.2585,4.779,634,NA,NA,NA,NA
8604,1.632,Regular chow,331.2234,1.469,597,NA,NA,NA,NA
5877,1.631,Regular chow,272.1607,0.977,NA,NA,NA,NA,NA
8612,1.631,Regular chow,402.7167,1.445,829,NA,NA,NA,NA
15528,1.631,High Fat Diet,182.0819,2.288,304,NA,NA,NA,NA
22590,1.631,High Fat Diet,248.1681,3.513,552,NA,NA,NA,NA
23467,1.631,Regular chow,297.2425,3.702,109,CCMSLIB00003137581,Spectral Match to 9(10)-EpOME from NIST14,M+H,NA
31141,1.630,Regular chow,325.2933,5.398,415,NA,NA,NA,NA
24191,1.630,High Fat Diet,412.3062,3.899,NA,CCMSLIB00010235332,"""Candidate Trihydroxylated bile acid (delta mass 3.012; sirius atomic difference: 2C, -1H, 2N, -3O; buddy atomic difference: -1C, 1H, 1N)""",M+H,NA
26771,1.630,Regular chow,299.2584,4.488,319,NA,NA,NA,NA
12547,1.630,High Fat Diet,259.0829,1.907,NA,NA,NA,NA,NA
10234,1.630,Regular chow,308.6928,1.672,701,NA,NA,NA,NA
2243,1.629,High Fat Diet,206.0852,0.366,NA,NA,NA,NA,NA
2406,1.629,High Fat Diet,222.6448,0.396,NA,NA,NA,NA,NA
12821,1.629,Regular chow,393.2135,2.004,566,NA,NA,NA,NA
15816,1.628,Regular chow,465.2711,2.361,420,NA,NA,NA,NA
20213,1.628,Regular chow,353.2322,3.051,NA,CCMSLIB00010250379,"""Candidate Trihydroxylated bile acid (delta mass -56.0564; sirius atomic difference: -7C, -4H, 1S; buddy atomic difference: -4C, -8H)""",M+H,NA
20026,1.628,High Fat Diet,630.3096,3.032,335,CCMSLIB00010220383,"""Candidate Trihydroxylated bile acid (delta mass 221.0153; sirius atomic difference: 6C, 3H, 7N, 1O, 1S; buddy atomic difference: 11C, 3H, 5N, -1O, 1S)""",M+H,NA
15123,1.628,Regular chow,209.1181,2.233,NA,NA,NA,NA,NA
28195,1.628,Regular chow,367.2468,4.835,NA,NA,NA,NA,NA
29005,1.627,Regular chow,582.3435,4.992,NA,NA,NA,NA,NA
2127,1.627,Regular chow,289.1394,0.348,NA,NA,NA,NA,NA
32197,1.627,Regular chow,457.3679,5.529,NA,NA,NA,NA,NA
15220,1.627,High Fat Diet,210.1130,2.276,NA,NA,NA,NA,NA
28295,1.626,High Fat Diet,272.2587,4.804,NA,NA,NA,NA,NA
9902,1.626,Regular chow,271.1654,1.592,NA,NA,NA,NA,NA
31337,1.625,Regular chow,405.2540,5.446,33,NA,NA,NA,NA
20786,1.625,High Fat Diet,405.2647,3.269,NA,CCMSLIB00010238566,"""Candidate Pentahydroxylated bile acid (delta mass -36.0214; sirius atomic difference: -4H, -2O; buddy atomic difference: -4H, -2O)""",M+H,NA
1825,1.624,Regular chow,219.0980,0.309,NA,NA,NA,NA,NA
28412,1.624,Regular chow,327.2531,4.947,NA,NA,NA,NA,NA
25686,1.624,High Fat Diet,389.2691,4.213,197,CCMSLIB00010241244,"""Candidate Trihydroxylated bile acid (delta mass -20.0259; sirius atomic difference: -4H, -1O; buddy atomic difference: -4H, -1O)""",M+H,NA
33266,1.623,High Fat Diet,614.5007,5.718,NA,NA,NA,NA,NA
20246,1.623,High Fat Diet,462.2671,3.057,NA,CCMSLIB00010229214,"""Candidate Trihydroxylated bile acid (delta mass 52.9723; buddy atomic difference: 2C, -1H, 1N, -1O, 1S; spectral library match to CCMSLIB00005435564, taurocholic acid)""",M+H,Trihydroxylated bile acid_taurine [M-3H2O+H]+
30462,1.623,Regular chow,187.1336,5.164,24,NA,NA,NA,NA
24742,1.623,High Fat Diet,482.3292,4.041,NA,CCMSLIB00010225154,"""Candidate Trihydroxylated bile acid (delta mass 73.0351; sirius atomic difference: 3C, 7H, 1N, -1O, 1S; buddy atomic difference: 3C, 7H, 1N, -1O, 1S)""",M+H,NA
11007,1.623,Regular chow,265.1552,1.717,597,CCMSLIB00003137123,Spectral Match to Val-Phe from NIST14,M+H,NA
13798,1.623,High Fat Diet,214.1080,2.087,NA,NA,NA,NA,NA
29061,1.623,High Fat Diet,524.3761,4.994,NA,NA,NA,NA,NA
33140,1.622,High Fat Diet,378.2644,5.705,189,NA,NA,NA,NA
22953,1.621,Regular chow,243.1018,3.585,NA,CCMSLIB00003136888,Spectral Match to Equol from NIST14,M+H,NA
28679,1.621,High Fat Diet,410.3267,4.922,1,CCMSLIB00010235755,"""Candidate Dihydroxylated bile acid (delta mass 17.0266; sirius atomic difference: 3H, 1N; buddy atomic difference: 3H, 1N)""",M+H,NA
25640,1.621,High Fat Diet,572.4015,4.212,NA,NA,NA,NA,NA
27732,1.620,High Fat Diet,276.6594,4.690,132,NA,NA,NA,NA
21270,1.620,High Fat Diet,564.3207,3.296,NA,NA,NA,NA,NA
28864,1.620,High Fat Diet,468.3683,4.948,707,NA,NA,NA,NA
20493,1.620,Regular chow,375.2745,3.085,NA,NA,NA,NA,NA
29206,1.620,Regular chow,309.2427,5.104,586,NA,NA,NA,NA
24225,1.619,High Fat Diet,482.2940,3.880,NA,CCMSLIB00010225311,"""Candidate Dihydroxylated bile acid (delta mass 88.9932; buddy atomic difference: 6C, -5H, 5N, -3O; spectral library match to CCMSLIB00005465556, """"2-((4R)-4-((3R,5R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"""")""",M+H,Dihydroxylated bile acid_taurine [M-H2O+H]+
29911,1.619,High Fat Diet,386.3269,5.183,NA,NA,NA,NA,NA
23570,1.619,Regular chow,195.1388,3.789,NA,NA,NA,NA,NA
35276,1.619,High Fat Diet,429.3745,6.290,NA,NA,NA,NA,NA
28663,1.618,High Fat Diet,416.3169,4.920,1,CCMSLIB00010234605,"""Candidate Dihydroxylated bile acid (delta mass 23.0201; sirius atomic difference: 2C, 1H, 1N, -1O; buddy atomic difference: 2C, 1H, 1N, -1O)""",M+H,NA
18378,1.618,High Fat Diet,519.3123,2.754,284,NA,NA,NA,NA
26575,1.618,Regular chow,295.2271,4.411,NA,NA,NA,NA,NA
22608,1.617,Regular chow,339.2532,3.520,NA,NA,NA,NA,NA
1637,1.617,High Fat Diet,132.5205,0.293,NA,NA,NA,NA,NA
30289,1.617,Regular chow,317.2105,5.226,419,NA,NA,NA,NA
18219,1.617,High Fat Diet,387.1589,2.736,265,NA,NA,NA,NA
6168,1.617,Regular chow,238.1275,1.039,382,NA,NA,NA,NA
17049,1.617,High Fat Diet,514.2844,2.545,NA,CCMSLIB00010223602,"""Candidate Tetrahydroxylated bile acid (delta mass 88.9914; sirius atomic difference: 2C, 3H, 1N, 1O, 1S; buddy atomic difference: 3C, -1H, 5N, -3O, 1S)""",M+H,Tetrahydroxylated bile acid_4-methyl-5-thiazoleethanol [M-2H2O+H]+
28710,1.617,High Fat Diet,802.6204,4.922,1,CCMSLIB00010218520,"""Candidate Dihydroxylated bile acid (delta mass 409.3193; sirius atomic difference: 16C, 35H, 13N; buddy atomic difference: 24C, 43H, 1N, 4O)""",M+H,Dihydroxylated bile acid_forskolin [M+NH4]+
23397,1.617,Regular chow,295.2272,3.719,NA,CCMSLIB00003137992,"Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14",M+H,NA
31277,1.617,High Fat Diet,501.3557,5.437,NA,NA,NA,NA,NA
28052,1.616,Regular chow,323.2218,4.886,25,NA,NA,NA,NA
30928,1.616,High Fat Diet,517.3528,5.341,NA,NA,NA,NA,NA
32022,1.615,Regular chow,599.4899,5.679,33,NA,NA,NA,NA
19744,1.615,High Fat Diet,919.4202,3.020,NA,CCMSLIB00010217728,"""Candidate Trihydroxylated bile acid (delta mass 510.1265; sirius atomic difference: 24C, 22H, 4N, 7O, 1S; buddy atomic difference: 32C, 18H, 2N, 5O)""",M+H,NA
22243,1.615,High Fat Diet,482.2294,3.460,NA,CCMSLIB00010225394,"""Candidate Trihydroxylated bile acid (delta mass 72.9343; sirius atomic difference: 2C, -9H, 3N, 1O; buddy atomic difference: 2C, -9H, 3N, 1O)""",M+H,NA
22764,1.615,High Fat Diet,424.3060,3.551,NA,CCMSLIB00010234095,"""Candidate Tetrahydroxylated bile acid (delta mass -0.9835; buddy atomic difference: 1H, 1N, -1O)""",M+H,NA
27339,1.615,High Fat Diet,466.3534,4.626,614,CCMSLIB00010227395,"""Candidate Monohydroxylated bile acid (delta mass 89.0475; sirius atomic difference: 3C, 7H, 1N, 2O; buddy atomic difference: 3C, 7H, 1N, 2O)""",M+H,Monohydroxylated bile acid_5-methylcytosine [M-H2O+H]+
21142,1.615,High Fat Diet,426.1949,3.264,NA,NA,NA,NA,NA
23610,1.615,Regular chow,213.1492,3.735,NA,CCMSLIB00003136040,Spectral Match to Dodecanedioic acid from NIST14,M+H-H2O,NA
22505,1.614,High Fat Diet,423.2744,3.391,NA,CCMSLIB00010234356,"""Candidate Pentahydroxylated bile acid (delta mass -18.0097; sirius atomic difference: -2H, -1O; buddy atomic difference: -2H, -1O)""",M+H,NA
30998,1.614,High Fat Diet,524.3731,5.372,NA,CCMSLIB00003139075,Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14,M+H,NA
15181,1.614,Regular chow,260.1497,2.273,670,NA,NA,NA,NA
25527,1.613,Regular chow,471.3112,4.170,NA,NA,NA,NA,NA
5887,1.613,Regular chow,200.0927,0.966,NA,NA,NA,NA,NA
29602,1.612,High Fat Diet,518.3234,5.119,NA,CCMSLIB00003139839,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,M+Na,NA
29335,1.612,High Fat Diet,508.3415,5.061,NA,CCMSLIB00010056244,PC(17:1/0:0); [M+H]+ C25H51N1O7P1,M+H,NA
22751,1.612,High Fat Diet,449.3270,3.522,NA,NA,NA,NA,NA
23992,1.612,High Fat Diet,632.9145,3.904,NA,NA,NA,NA,NA
33542,1.611,High Fat Diet,460.3536,5.774,65,NA,NA,NA,NA
25054,1.610,High Fat Diet,359.2796,4.011,NA,NA,NA,NA,NA
22359,1.610,Regular chow,469.3539,3.486,NA,NA,NA,NA,NA
31543,1.609,Regular chow,293.2478,5.508,NA,CCMSLIB00003136996,"Spectral Match to 9Z,11E,13E-Octadecatrienoic acid methyl ester from NIST14",M+H,NA
29317,1.609,Regular chow,309.2063,5.019,NA,NA,NA,NA,NA
34913,1.609,High Fat Diet,427.3578,6.090,NA,NA,NA,NA,NA
25704,1.609,High Fat Diet,376.2152,4.209,77,CCMSLIB00010243421,"""Candidate Dihydroxylated bile acid (delta mass -17.0844; sirius atomic difference: -6C, -7H, 1N, 1O, 1S)""",M+H,NA
3565,1.609,High Fat Diet,170.5630,0.583,NA,NA,NA,NA,NA
22275,1.608,Regular chow,344.2798,3.492,NA,NA,NA,NA,NA
27955,1.608,High Fat Diet,477.3575,4.806,NA,CCMSLIB00010227096,"""Candidate Dihydroxylated bile acid (delta mass 84.0575; sirius atomic difference: 5C, 8H, 1O; buddy atomic difference: 5C, 8H, 1O)""",M+H,NA
23810,1.608,High Fat Diet,609.3283,3.814,258,CCMSLIB00010221092,"""Candidate Tetrahydroxylated bile acid (delta mass 184.0398; sirius atomic difference: 9C, 4H, 4N, 1O; buddy atomic difference: 9C, 4H, 4N, 1O)""",M+H,Tetrahydroxylated bile acid_theobromine [M+Na]+
2792,1.608,High Fat Diet,199.1084,0.432,NA,NA,NA,NA,NA
18555,1.608,High Fat Diet,305.1505,2.744,NA,NA,NA,NA,NA
11597,1.607,High Fat Diet,324.1905,1.772,NA,NA,NA,NA,NA
24716,1.607,High Fat Diet,448.3068,4.065,798,NA,NA,NA,NA
20387,1.607,Regular chow,393.2276,3.126,NA,NA,NA,NA,NA
22440,1.607,Regular chow,211.1334,3.477,186,NA,NA,NA,NA
29955,1.606,High Fat Diet,447.3833,5.249,589,NA,NA,NA,NA
14162,1.606,Regular chow,408.2511,2.132,746,NA,NA,NA,NA
18799,1.606,High Fat Diet,329.2124,2.833,347,NA,NA,NA,NA
7809,1.606,Regular chow,226.1078,1.361,261,NA,NA,NA,NA
31201,1.605,High Fat Diet,550.3883,5.417,NA,CCMSLIB00010099351,PC(20:1/0:0); [M+H]+ C28H57N1O7P1,M+H,NA
16042,1.604,Regular chow,313.1550,2.394,604,CCMSLIB00003136393,Spectral Match to Phe-Phe from NIST14,M+H,NA
28673,1.604,High Fat Diet,807.5755,4.922,1,CCMSLIB00005464838,"""(R)-4-((3S,5S,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",2M+Na,NA
15175,1.603,Regular chow,265.1047,2.287,670,NA,NA,NA,NA
6114,1.603,Regular chow,311.1603,1.025,NA,NA,NA,NA,NA
11463,1.603,High Fat Diet,277.6525,1.669,NA,NA,NA,NA,NA
33425,1.602,Regular chow,398.3271,5.758,NA,NA,NA,NA,NA
29480,1.602,Regular chow,307.2270,5.106,56,NA,NA,NA,NA
21059,1.602,High Fat Diet,303.1707,3.098,NA,NA,NA,NA,NA
27594,1.602,Regular chow,487.3418,4.679,214,CCMSLIB00010224930,"""Candidate Dihydroxylated bile acid (delta mass 94.0414; sirius atomic difference: 6C, 6H, 1O; buddy atomic difference: 6C, 6H, 1O)""",M+H,Dihydroxylated bile acid_sorbic acid [M+H]+
21076,1.602,Regular chow,393.2273,3.233,NA,NA,NA,NA,NA
25590,1.601,Regular chow,354.2303,4.182,NA,NA,NA,NA,NA
3890,1.600,Regular chow,190.1275,0.626,487,NA,NA,NA,NA
27540,1.600,Regular chow,335.2207,4.601,771,NA,NA,NA,NA
1539,1.600,Regular chow,143.0506,0.287,339,NA,NA,NA,NA
22536,1.599,High Fat Diet,625.3238,3.502,NA,NA,NA,NA,NA
20892,1.599,High Fat Diet,313.1801,3.294,260,NA,NA,NA,NA
26916,1.598,High Fat Diet,277.6672,4.529,315,NA,NA,NA,NA
28681,1.598,High Fat Diet,785.5939,4.921,1,CCMSLIB00010218744,"""Candidate Dihydroxylated bile acid (delta mass 392.2917; sirius atomic difference: 24C, 40H, 4O; buddy atomic difference: 24C, 40H, 4O; spectral library match to CCMSLIB00003134943, Spectral Match to Deoxycholic acid from NIST14)""",M+H,NA
14651,1.598,Regular chow,333.1335,2.196,670,NA,NA,NA,NA
13236,1.598,Regular chow,211.1337,2.010,NA,NA,NA,NA,NA
29612,1.598,High Fat Diet,546.3574,5.117,NA,CCMSLIB00010083928,PC(20:3/0:0); [M+H]+ C28H53N1O7P1,M+H,NA
7638,1.597,Regular chow,447.2455,1.388,NA,NA,NA,NA,NA
